,Name,Team,BYE,Pos,ADP,FantasyPros,NFLRank,NFLvADP,NFLvFP,Round,Pick,,,,,,,,,,,,,,
,Christian McCaffrey,CAR,13,RB1,1,1,1,0.00,0.00,1,1,,,,,,,,,,,,,,
,Saquon Barkley,NYG,11,RB2,3,2,2,-0.33,0.00,,2,,,,,,,,,,,,,,
,Michael Thomas,NO,6,WR1,4,3,3,-0.25,0.00,,3,,,,,,,,,,,,,,
,Ezekiel Elliott,DAL,10,RB3,2,4,4,1.00,0.00,,4,,,,,,,,,,,,,,
,Alvin Kamara,NO,6,RB4,7,5,5,-0.29,0.00,,5,,,,,,,,,,,,,,
,Dalvin Cook,MIN,7,RB5,6,6,6,0.00,0.00,,6,,,,,,,,,,,,,,
,Derrick Henry,TEN,7,RB6,5,9,7,0.40,-0.22,,7,,,,,,,,,,,,,,
,Davante Adams,GB,5,WR2,12,7,8,-0.33,0.14,,8,,,,,,,,,,,,,,
,DeAndre Hopkins,ARI,8,WR5,14,12,9,-0.36,-0.25,,9,,,,,,,,,,,,,,
,Joe Mixon,CIN,9,RB7,9,10,10,0.11,0.00,,10,,,,,,,,,,,,,,
,Tyreek Hill,KC,10,WR4,8,11,11,0.38,0.00,,11,,,,,,,,,,,,,,
,Julio Jones,ATL,10,WR3,13,8,12,-0.08,0.50,,12,,,,,,,,,,,,,,
,Kenyan Drake,ARI,8,RB8,21,13,13,-0.38,0.00,2,13,,,,,,,,,,,,,,
,Miles Sanders,PHI,9,RB11,18,18,14,-0.22,-0.22,,14,,,,,,,,,,,,,,
,Austin Ekeler,LAC,10,RB9,25,16,15,-0.40,-0.06,,15,,,,,,,,,,,,,,
,Nick Chubb,CLE,9,RB12,11,21,16,0.45,-0.24,,16,,,,,,,,,,,,,,
,Josh Jacobs,LV,6,RB13,10,22,17,0.70,-0.23,,17,,,,,,,,,,,,,,
,Aaron Jones,GB,5,RB14,15,23,18,0.20,-0.22,,18,,,,,,,,,,,,,,
,Clyde Edwards-Helaire,KC,10,RB10,28,17,19,-0.32,0.12,,19,,,,,,,,,,,,,,
,Chris Godwin,TB,13,WR6,16,14,20,0.25,0.43,,20,,,,,,,,,,,,,,
,Travis Kelce,KC,10,TE1,17,15,21,0.24,0.40,,21,,,,,,,,,,,,,,
,Patrick Mahomes,KC,10,QB1,20,25,22,0.10,-0.12,,22,,,,,,,,,,,,,,
,Lamar Jackson,BAL,8,QB2,22,29,23,0.05,-0.21,,23,,,,,,,,,,,,,,
,George Kittle,SF,11,TE2,19,19,24,0.26,0.26,,24,,,,,,,,,,,,,,
,Kenny Golladay,DET,5,WR8,23,24,25,0.09,0.04,3,25,,,,,,,,,,,,,,
,Mike Evans,TB,13,WR9,24,26,26,0.08,0.00,,26,,,,,,,,,,,,,,
,Todd Gurley,ATL,10,RB15,41,35,27,-0.34,-0.23,,27,,,,,,,,,,,,,,
,Leonard Fournette,JAC,7,RB16,33,37,28,-0.15,-0.24,,28,,,,,,,,,,,,,,
,Allen Robinson,CHI,11,WR7,37,20,29,-0.22,0.45,,29,,,,,,,,,,,,,,
,D.J. Moore,CAR,13,WR11,50,28,30,-0.40,0.07,,30,,,,,,,,,,,,,,
,Odell Beckham Jr.,CLE,9,WR13,44,31,31,-0.30,0.00,,31,,,,,,,,,,,,,,
,Amari Cooper,DAL,10,WR12,26,30,32,0.23,0.07,,32,,,,,,,,,,,,,,
,Adam Thielen,MIN,7,WR14,29,32,33,0.14,0.03,,33,,,,,,,,,,,,,,
,Cooper Kupp,LAR,9,WR15,31,34,34,0.10,0.00,,34,,,,,,,,,,,,,,
,JuJu Smith-Schuster,PIT,8,WR10,39,27,35,-0.10,0.30,,35,,,,,,,,,,,,,,
,Melvin Gordon,DEN,8,RB18,34,41,36,0.06,-0.12,,36,,,,,,,,,,,,,,
,Chris Carson,SEA,6,RB17,27,40,37,0.37,-0.08,4,37,,,,,,,,,,,,,,
,Le'Veon Bell,NYJ,11,RB19,42,42,38,-0.10,-0.10,,38,,,,,,,,,,,,,,
,Mark Andrews,BAL,8,TE4,32,44,39,0.22,-0.11,,39,,,,,,,,,,,,,,
,James Conner,PIT,8,RB20,45,45,40,-0.11,-0.11,,40,,,,,,,,,,,,,,
,David Johnson,HOU,8,RB21,43,50,41,-0.05,-0.18,,41,,,,,,,,,,,,,,
,Calvin Ridley,ATL,10,WR17,35,38,42,0.20,0.11,,42,,,,,,,,,,,,,,
,A.J. Brown,TEN,7,WR18,30,39,43,0.43,0.10,,43,,,,,,,,,,,,,,
,Courtland Sutton,DEN,8,WR22,63,48,44,-0.30,-0.08,,44,,,,,,,,,,,,,,
,Tyler Lockett,SEA,6,WR21,47,47,45,-0.04,-0.04,,45,,,,,,,,,,,,,,
,Keenan Allen,LAC,10,WR19,46,43,46,0.00,0.07,,46,,,,,,,,,,,,,,
,Devin Singletary,BUF,11,RB25,52,62,47,-0.10,-0.24,,47,,,,,,,,,,,,,,
,D.J. Chark,JAC,7,WR20,56,46,48,-0.14,0.04,,48,,,,,,,,,,,,,,
,Kerryon Johnson,DET,5,RB40,85,111,49,-0.42,-0.56,5,49,,,,,,,,,,,,,,
,T.Y. Hilton,IND,7,WR26,48,54,50,0.04,-0.07,,50,,,,,,,,,,,,,,
,D.K. Metcalf,SEA,6,WR24,36,51,51,0.42,0.00,,51,,,,,,,,,,,,,,
,Deshaun Watson,HOU,8,QB6,65,63,52,-0.20,-0.17,,52,,,,,,,,,,,,,,
,Mark Ingram II,BAL,8,RB22,40,56,53,0.33,-0.05,,53,,,,,,,,,,,,,,
,Stefon Diggs,BUF,11,WR27,53,57,54,0.02,-0.05,,54,,,,,,,,,,,,,,
,Zach Ertz,PHI,9,TE3,38,33,55,0.45,0.67,,55,,,,,,,,,,,,,,
,David Montgomery,CHI,11,RB24,51,61,56,0.10,-0.08,,56,,,,,,,,,,,,,,
,Robert Woods,LAR,9,WR16,49,36,57,0.16,0.58,,57,,,,,,,,,,,,,,
,Dak Prescott,DAL,10,QB3,58,55,58,0.00,0.05,,58,,,,,,,,,,,,,,
,Michael Gallup,DAL,10,WR33,74,70,59,-0.20,-0.16,,59,,,,,,,,,,,,,,
,Russell Wilson,SEA,6,QB4,57,59,60,0.05,0.02,,60,,,,,,,,,,,,,,
,Marlon Mack,IND,7,RB43,72,120,61,-0.15,-0.49,6,61,,,,,,,,,,,,,,
,Jarvis Landry,CLE,9,WR29,68,65,62,-0.09,-0.05,,62,,,,,,,,,,,,,,
,Terry McLaurin,WAS,8,WR23,66,49,63,-0.05,0.29,,63,,,,,,,,,,,,,,
,Tyler Boyd,CIN,9,WR28,82,64,64,-0.22,0.00,,64,,,,,,,,,,,,,,
,D'Andre Swift,DET,5,RB29,70,77,65,-0.07,-0.16,,65,,,,,,,,,,,,,,
,Kyler Murray,ARI,8,QB5,55,60,66,0.20,0.10,,66,,,,,,,,,,,,,,
,Raheem Mostert,SF,11,RB27,64,71,67,0.05,-0.06,,67,,,,,,,,,,,,,,
,Cam Akers,LAR,9,RB28,83,75,68,-0.18,-0.09,,68,,,,,,,,,,,,,,
,A.J. Green,CIN,9,WR30,60,67,69,0.15,0.03,,69,,,,,,,,,,,,,,
,Christian Kirk,ARI,8,WR37,94,87,70,-0.26,-0.20,,70,,,,,,,,,,,,,,
,Evan Engram,NYG,11,TE6,69,72,71,0.03,-0.01,,71,,,,,,,,,,,,,,
,Darren Waller,LV,6,TE5,59,53,72,0.22,0.36,,72,,,,,,,,,,,,,,
,Derrius Guice,WAS,8,RB32,75,86,73,-0.03,-0.15,7,73,,,,,,,,,,,,,,
,Hunter Henry,LAC,10,TE8,73,79,74,0.01,-0.06,,74,,,,,,,,,,,,,,
,Julian Edelman,NE,6,WR31,81,68,75,-0.07,0.10,,75,,,,,,,,,,,,,,
,Marquise Brown,BAL,8,WR32,67,69,76,0.13,0.10,,76,,,,,,,,,,,,,,
,Kareem Hunt,CLE,9,RB26,77,66,77,0.00,0.17,,77,,,,,,,,,,,,,,
,Will Fuller,HOU,8,WR36,87,82,78,-0.10,-0.05,,78,,,,,,,,,,,,,,
,Carson Wentz,PHI,9,QB10,89,84,79,-0.11,-0.06,,79,,,,,,,,,,,,,,
,DeVante Parker,MIA,11,WR25,62,52,80,0.29,0.54,,80,,,,,,,,,,,,,,
,Brandin Cooks,HOU,8,WR35,80,81,81,0.01,0.00,,81,,,,,,,,,,,,,,
,James White,NE,6,RB30,114,80,82,-0.28,0.03,,82,,,,,,,,,,,,,,
,Tarik Cohen,CHI,11,RB31,144,85,83,-0.42,-0.02,,83,,,,,,,,,,,,,,
,Matt Ryan,ATL,10,QB8,86,78,84,-0.02,0.08,,84,,,,,,,,,,,,,,
,Marvin Jones,DET,5,WR34,91,76,85,-0.07,0.12,8,85,,,,,,,,,,,,,,
,Deebo Samuel,SF,11,WR45,61,105,86,0.41,-0.18,,86,,,,,,,,,,,,,,
,Austin Hooper,CLE,9,TE10,95,102,87,-0.08,-0.15,,87,,,,,,,,,,,,,,
,Ke'Shawn Vaughn,TB,13,RB39,110,110,88,-0.20,-0.20,,88,,,,,,,,,,,,,,
,Noah Fant,DEN,8,TE15,105,123,89,-0.15,-0.28,,89,,,,,,,,,,,,,,
,Ronald Jones II,TB,13,RB33,92,91,90,-0.02,-0.01,,90,,,,,,,,,,,,,,
,Mike Williams,LAC,10,WR47,103,112,91,-0.12,-0.19,,91,,,,,,,,,,,,,,
,Jordan Howard,MIA,11,RB35,96,96,92,-0.04,-0.04,,92,,,,,,,,,,,,,,
,Aaron Rodgers,GB,5,QB13,76,97,93,0.22,-0.04,,93,,,,,,,,,,,,,,
,Sony Michel,NE,6,RB37,79,106,94,0.19,-0.11,,94,,,,,,,,,,,,,,
,Josh Allen,BUF,11,QB7,71,74,95,0.34,0.28,,95,,,,,,,,,,,,,,
,John Brown,BUF,11,WR41,90,94,96,0.07,0.02,,96,,,,,,,,,,,,,,
,N'Keal Harry,NE,6,WR55,147,141,97,-0.34,-0.31,9,97,,,,,,,,,,,,,,
,Jared Cook,NO,6,TE11,88,104,98,0.11,-0.06,,98,,,,,,,,,,,,,,
,Sterling Shepard,NYG,11,WR40,115,92,99,-0.14,0.08,,99,,,,,,,,,,,,,,
,Diontae Johnson,PIT,8,WR38,119,88,100,-0.16,0.14,,100,,,,,,,,,,,,,,
,Tevin Coleman,SF,11,RB41,101,115,101,0.00,-0.12,,101,,,,,,,,,,,,,,
,J.K. Dobbins,BAL,8,RB38,98,108,102,0.04,-0.06,,102,,,,,,,,,,,,,,
,Phillip Lindsay,DEN,8,RB36,93,103,103,0.11,0.00,,103,,,,,,,,,,,,,,
,Tom Brady,TB,13,QB11,100,89,104,0.04,0.17,,104,,,,,,,,,,,,,,
,Mecole Hardman,KC,10,WR56,113,142,105,-0.07,-0.26,,105,,,,,,,,,,,,,,
,Matt Breida,MIA,11,RB34,97,93,106,0.09,0.14,,106,,,,,,,,,,,,,,
,Royce Freeman,DEN,8,RB69,239,238,107,-0.55,-0.55,,107,,,,,,,,,,,,,,
,Curtis Samuel,CAR,13,WR58,166,147,108,-0.35,-0.27,,108,,,,,,,,,,,,,,
,Rob Gronkowski,TB,13,TE12,78,107,109,0.40,0.02,10,109,,,,,,,,,,,,,,
,Alexander Mattison,MIN,7,RB46,117,134,110,-0.06,-0.18,,110,,,,,,,,,,,,,,
,Dallas Goedert,PHI,9,TE16,124,128,111,-0.10,-0.13,,111,,,,,,,,,,,,,,
,Kirk Cousins,MIN,7,QB21,122,148,112,-0.08,-0.24,,112,,,,,,,,,,,,,,
,Jimmy Garoppolo,SF,11,QB22,138,153,113,-0.18,-0.26,,113,,,,,,,,,,,,,,
,Darrell Henderson,LAR,9,RB45,108,132,114,0.06,-0.14,,114,,,,,,,,,,,,,,
,O.J. Howard,TB,13,TE27,164,211,115,-0.30,-0.45,,115,,,,,,,,,,,,,,
,Rashaad Penny,SEA,6,RB64,145,217,116,-0.20,-0.47,,116,,,,,,,,,,,,,,
,Darius Slayton,NYG,11,WR42,99,98,117,0.18,0.19,,117,,,,,,,,,,,,,,
,Alshon Jeffery,PHI,9,WR62,120,162,118,-0.02,-0.27,,118,,,,,,,,,,,,,,
,Robby Anderson,CAR,13,WR54,118,138,119,0.01,-0.14,,119,,,,,,,,,,,,,,
,Latavius Murray,NO,6,RB42,112,117,120,0.07,0.03,,120,,,,,,,,,,,,,,
,Sammy Watkins,KC,10,WR59,130,149,121,-0.07,-0.19,11,121,,,,,,,,,,,,,,
,Baker Mayfield,CLE,9,QB17,111,126,122,0.10,-0.03,,122,,,,,,,,,,,,,,
,Jamaal Williams,GB,5,RB55,163,179,123,-0.25,-0.31,,123,,,,,,,,,,,,,,
,Dede Westbrook,JAC,7,WR68,177,177,124,-0.30,-0.30,,124,,,,,,,,,,,,,,
,Emmanuel Sanders,NO,6,WR44,102,101,125,0.23,0.24,,125,,,,,,,,,,,,,,
,David Njoku,CLE,9,TE32,254,254,126,-0.50,-0.50,,126,,,,,,,,,,,,,,
,Golden Tate,NYG,11,WR48,129,114,127,-0.02,0.11,,127,,,,,,,,,,,,,,
,Duke Johnson,HOU,8,RB44,157,125,128,-0.18,0.02,,128,,,,,,,,,,,,,,
,Anthony Miller,CHI,11,WR43,132,99,129,-0.02,0.30,,129,,,,,,,,,,,,,,
,Daniel Jones,NYG,11,QB14,109,116,130,0.19,0.12,,130,,,,,,,,,,,,,,
,Justice Hill,BAL,8,RB72,191,249,131,-0.31,-0.47,,131,,,,,,,,,,,,,,
,Drew Brees,NO,6,QB9,84,83,132,0.57,0.59,,132,,,,,,,,,,,,,,
,Parris Campbell,IND,7,WR65,209,167,133,-0.36,-0.20,12,133,,,,,,,,,,,,,,
,Jared Goff,LAR,9,QB18,125,127,134,0.07,0.06,,134,,,,,,,,,,,,,,
,Preston Williams,MIA,11,WR49,131,118,135,0.03,0.14,,135,,,,,,,,,,,,,,
,Sam Darnold,NYJ,11,QB27,176,182,136,-0.23,-0.25,,136,,,,,,,,,,,,,,
,Corey Davis,TEN,7,WR71,206,190,137,-0.33,-0.28,,137,,,,,,,,,,,,,,
,Jonathan Taylor,IND,7,RB23,54,58,138,1.56,1.38,,138,,,,,,,,,,,,,,
,Mike Gesicki,MIA,11,TE13,127,113,139,0.09,0.23,,139,,,,,,,,,,,,,,
,Jimmy Graham,CHI,11,TE31,259,248,140,-0.46,-0.44,,140,,,,,,,,,,,,,,
,Tyrell Williams,LV,6,WR74,170,198,141,-0.17,-0.29,,141,,,,,,,,,,,,,,
,Tony Pollard,DAL,10,RB47,133,137,142,0.07,0.04,,142,,,,,,,,,,,,,,
,Jamison Crowder,NYJ,11,WR39,141,90,143,0.01,0.59,,143,,,,,,,,,,,,,,
,Matthew Stafford,DET,5,QB12,106,95,144,0.36,0.52,,144,,,,,,,,,,,,,,
,T.J. Hockenson,DET,5,TE14,136,122,147,0.08,0.20,13,145,,,,,,,,,,,,,,
,James Washington,PIT,8,WR70,205,187,148,-0.28,-0.21,,146,,,,,,,,,,,,,,
,Damien Harris,NE,6,RB62,194,203,150,-0.23,-0.26,,147,,,,,,,,,,,,,,
,Carlos Hyde,SEA,6,RB61,186,202,151,-0.19,-0.25,,148,,,,,,,,,,,,,,
,Andy Isabella,ARI,8,WR89,253,264,152,-0.40,-0.42,,149,,,,,,,,,,,,,,
,Tyler Higbee,LAR,9,TE7,104,73,153,0.47,1.10,,150,,,,,,,,,,,,,,
,Kyle Rudolph,MIN,7,TE26,212,205,155,-0.27,-0.24,,151,,,,,,,,,,,,,,
,Chase Edmonds,ARI,8,RB51,146,157,156,0.07,-0.01,,152,,,,,,,,,,,,,,
,Breshad Perriman,NYJ,11,WR57,151,146,160,0.06,0.10,,153,,,,,,,,,,,,,,
,Henry Ruggs III,LV,6,WR52,126,135,162,0.29,0.20,,154,,,,,,,,,,,,,,
,Jalen Reagor,PHI,9,WR53,168,136,164,-0.02,0.21,,155,,,,,,,,,,,,,,
,John Ross,CIN,9,WR75,169,204,165,-0.02,-0.19,,156,,,,,,,,,,,,,,
,Jerry Jeudy,DEN,8,WR50,116,121,167,0.44,0.38,14,157,,,,,,,,,,,,,,
,Nyheim Hines,IND,7,RB48,172,139,169,-0.02,0.22,,158,,,,,,,,,,,,,,
,Jonnu Smith,TEN,7,TE17,153,129,170,0.11,0.32,,159,,,,,,,,,,,,,,
,Justin Jefferson,MIN,7,WR51,134,131,171,0.28,0.31,,160,,,,,,,,,,,,,,
,Ben Roethlisberger,PIT,8,QB15,121,119,172,0.42,0.45,,161,,,,,,,,,,,,,,
,Tyrod Taylor,LAC,10,QB30,242,240,173,-0.29,-0.28,,162,,,,,,,,,,,,,,
,Will Dissly,SEA,6,TE30,199,237,174,-0.13,-0.27,,163,,,,,,,,,,,,,,
,CeeDee Lamb,DAL,10,WR46,107,109,175,0.64,0.61,,164,,,,,,,,,,,,,,
,Ryan Tannehill,TEN,7,QB16,128,124,176,0.38,0.42,,165,,,,,,,,,,,,,,
